cliente_id,tipo_cliente,edad,sexo,estado_civil,numero_dependientes,nivel_educativo,estado_residencia,tipo_localidad,situacion_laboral,sector_actividad,antiguedad_laboral_o_negocio_anios,ingreso_mensual_mxn,ventas_mensuales_mxn,gastos_mensuales_mxn,capacidad_ahorro_mensual_mxn,antiguedad_cliente_anios,numero_productos_bancarios,tiene_cuenta_debito,tiene_tarjeta_credito,tiene_credito_personal,tiene_credito_automotriz,tiene_credito_hipotecario,tiene_credito_empresarial,tiene_inversiones,saldo_promedio_cuenta_mxn,saldo_tarjeta_credito_mxn,limite_credito_mxn,tiene_historial_crediticio,antiguedad_historial_crediticio_anios,score_crediticio,clasificacion_crediticia,creditos_activos,creditos_liquidados,pagos_atrasados_ultimos_12_meses,atraso_maximo_dias,tiene_creditos_vencidos,saldo_total_deuda_mxn,porcentaje_utilizacion_credito,consultas_crediticias_ultimos_12_meses,reestructuracion_deuda_previa,incumplimiento_crediticio_previo,nivel_riesgo_crediticio,transacciones_mensuales,gasto_mensual_tarjeta_mxn,porcentaje_uso_limite_credito,meses_con_saldo_vencido,nivel_ahorro,perfil_financiero,nivel_endeudamiento,usa_app_movil,sesiones_app_por_mes,transferencias_digitales_mes,pagos_servicios_app_mes,retiros_cajero_mes,visitas_sucursal_mes,canal_preferido,nivel_experiencia_digital,contactos_soporte_ultimos_6_meses,problema_mas_frecuente,satisfaccion_cliente,nps,considera_cambiar_banco,principal_objetivo_financiero,producto_interes,prefiere_atencion_personalizada
CLI001,Persona Física,47,Masculino,Casado,2,Preparatoria,Zacatecas,Suburbana,Empresario,Salud,1,27365,No aplica,15686,11679,8,3,Sí,No,Sí,No,Sí,No,No,35610,0,0,No,0,591,Regular,0,0,0,0,No,0,0.0,0,No,No,Medio,14,0,0.0,0,Alto,Moderado,Bajo,Sí,9,4,4,1,1,Web,Medio,0,Ninguno,6,7,No,Pagar deudas,Crédito personal,Sí
CLI002,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Chiapas,Rural,Empresario,Tecnología,2,No aplica,138430,88464,49966,2,2,Sí,No,No,No,No,No,Sí,224121,0,0,Sí,1,736,Buena,1,0,1,30,No,6274,0.0,1,No,No,Bajo,25,0,0.0,0,Alto,Moderado,Bajo,No,0,0,1,2,1,Atención telefónica,Alto,2,Aclaraciones,7,8,No,Invertir,Ninguno,No
CLI003,Persona Física,53,Masculino,Casado,1,Universidad,San Luis Potosí,Urbana,Empleado,Educación,3,10604,No aplica,6101,4503,1,2,Sí,No,Sí,No,No,No,No,9402,0,0,Sí,3,651,Buena,0,2,3,30,No,0,0.0,3,No,No,Medio,25,0,0.0,0,Alto,Moderado,Bajo,Sí,13,2,7,3,0,App móvil,Medio,2,Tarjeta,6,6,Sí,Viajar,Hipoteca,Sí
CLI004,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,San Luis Potosí,Suburbana,Empresario,Manufactura,5,No aplica,207306,139117,68189,1,3,Sí,No,No,Sí,No,No,Sí,109567,0,0,No,0,553,Regular,0,0,0,0,No,0,0.0,0,No,No,Medio,57,0,0.0,0,Alto,Conservador,Bajo,Sí,8,3,3,2,1,Web,Medio,0,Ninguno,6,8,No,Capital de trabajo,Crédito empresarial,Sí
CLI005,Persona Física,60,Femenino,Casado,1,Secundaria,Oaxaca,Urbana,Empleado,Educación,11,30749,No aplica,20857,9892,1,2,Sí,No,No,No,Sí,No,No,12250,0,0,No,0,540,Baja,0,0,0,0,No,0,0.0,1,No,No,Medio,20,0,0.0,0,Alto,Conservador,Bajo,No,0,1,0,1,4,Cajero,Medio,1,App,6,6,No,Emprender,Crédito personal,Sí
CLI006,Persona Física,20,Femenino,Soltero,0,Universidad,Coahuila,Rural,Estudiante,Alimentos,0,7259,No aplica,6597,662,2,1,Sí,No,No,No,No,No,No,6922,0,0,Sí,2,612,Regular,1,0,2,30,No,28600,0.0,0,No,Sí,Medio,14,0,0.0,0,Medio,Dinámico,Alto,Sí,13,7,8,1,0,App móvil,Alto,1,Aclaraciones,5,5,No,Crear fondo de emergencia,Hipoteca,Sí
CLI007,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Durango,Urbana,Empresario,Salud,1,No aplica,588540,527956,60584,1,2,Sí,No,No,No,No,Sí,No,150757,0,0,Sí,3,747,Buena,0,2,1,120,No,0,0.0,1,No,No,Medio,32,0,0.0,1,Medio,Conservador,Bajo,Sí,12,9,5,1,0,Sucursal,Bajo,1,Créditos,6,6,No,Capital de trabajo,Ninguno,No
CLI008,Persona Física,27,Otro/Prefiere no decir,Divorciado,0,Universidad,Durango,Urbana,Independiente,Logística,9,20040,No aplica,12752,7288,4,2,Sí,No,No,No,No,No,Sí,49847,0,0,Sí,6,749,Buena,0,2,2,60,No,0,0.0,0,No,No,Medio,23,0,0.0,0,Alto,Conservador,Bajo,Sí,10,10,2,0,0,Web,Medio,0,Ninguno,8,9,No,Comprar vivienda,Seguro,No
CLI009,Persona Física,27,Masculino,Soltero,0,Posgrado,Baja California,Urbana,Empleado,Construcción,4,28007,No aplica,17344,10663,2,4,Sí,Sí,Sí,Sí,No,No,No,38030,6081,16028,Sí,6,723,Buena,2,2,0,0,No,59684,37.9,0,No,No,Bajo,25,3015,37.9,0,Alto,Conservador,Medio,Sí,16,4,6,0,3,Cajero,Medio,1,Créditos,7,8,No,Invertir,Seguro,Sí
CLI010,Persona Física,37,Femenino,Viudo,1,Posgrado,Estado de México,Urbana,Independiente,Educación,8,24461,No aplica,22284,2177,3,2,Sí,No,No,No,Sí,No,No,11093,0,0,Sí,10,756,Excelente,1,0,0,0,No,38172,0.0,1,No,No,Bajo,20,0,0.0,0,Medio,Dinámico,Medio,Sí,11,5,4,0,1,Web,Alto,0,Ninguno,7,7,No,Emprender,Crédito personal,Sí
CLI011,Persona Física,33,Femenino,Viudo,0,Preparatoria,San Luis Potosí,Urbana,Independiente,Gobierno,10,14673,No aplica,8568,6105,15,1,Sí,No,No,No,No,No,No,6499,0,0,No,0,606,Regular,0,0,0,0,No,0,0.0,0,No,No,Medio,21,0,0.0,0,Alto,Conservador,Bajo,Sí,16,4,2,0,1,App móvil,Bajo,2,Transferencias,6,7,No,Pagar deudas,Tarjeta de crédito,Sí
CLI012,Persona Física,34,Femenino,Casado,0,Posgrado,Querétaro,Urbana,Empleado,Alimentos,16,32275,No aplica,18703,13572,3,2,Sí,Sí,No,No,No,No,No,11993,41866,44212,No,0,580,Regular,0,0,0,0,No,41866,94.7,1,No,No,Medio,27,17711,94.7,0,Alto,Moderado,Alto,Sí,10,8,8,2,0,Web,Medio,3,App,4,6,No,Comprar vivienda,Seguro,No
CLI013,Persona Física,38,Masculino,Casado,1,Preparatoria,Sinaloa,Urbana,Empleado,Gobierno,0,33486,No aplica,29999,3487,7,2,Sí,Sí,No,No,No,No,No,41434,43314,54521,Sí,15,817,Excelente,1,6,1,60,No,74254,79.4,4,No,No,Medio,21,12267,79.4,0,Medio,Dinámico,Alto,Sí,11,10,6,1,0,Web,Alto,0,Ninguno,7,7,No,Comprar automóvil,Seguro,Sí
CLI014,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Sinaloa,Suburbana,Empresario,Alimentos,3,No aplica,95428,67812,27616,3,2,Sí,No,No,No,No,No,Sí,181716,0,0,Sí,2,609,Regular,0,0,1,30,No,0,0.0,1,Sí,Sí,Medio,34,0,0.0,0,Alto,Conservador,Bajo,Sí,12,5,3,0,0,App móvil,Medio,1,Aclaraciones,6,3,No,Capital de trabajo,Inversión,No
CLI015,Persona Física,52,Femenino,Viudo,1,Universidad,Nuevo León,Rural,Empleado,Logística,5,13755,No aplica,8154,5601,2,1,Sí,No,No,No,No,No,No,1399,0,0,Sí,3,700,Buena,0,0,1,60,No,0,0.0,1,No,No,Bajo,20,0,0.0,0,Alto,Moderado,Bajo,No,0,0,1,2,1,Sucursal,Bajo,2,Tarjeta,7,7,Sí,Emprender,Inversión,Sí
CLI016,Persona Física,35,Masculino,Divorciado,0,Universidad,Veracruz,Suburbana,Empleado,Construcción,2,20008,No aplica,12290,7718,1,3,Sí,Sí,No,No,No,No,Sí,3793,7530,19473,Sí,12,755,Excelente,1,6,0,0,No,22506,38.7,1,No,No,Bajo,18,4150,38.7,0,Alto,Moderado,Medio,Sí,10,3,2,3,1,Web,Alto,1,Tarjeta,5,3,No,Ahorrar,Ninguno,No
CLI017,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Chiapas,Urbana,Empresario,Manufactura,22,No aplica,86172,74607,11565,13,1,No,Sí,No,No,No,No,No,42660,35435,80959,Sí,15,796,Excelente,0,5,0,0,No,35435,43.8,1,No,No,Bajo,38,25563,43.8,1,Medio,Moderado,Medio,Sí,9,6,5,1,1,Web,Medio,3,Aclaraciones,6,8,No,Capital de trabajo,Ninguno,No
CLI018,Persona Física,34,Femenino,Casado,0,Universidad,Hidalgo,Urbana,Empleado,Gobierno,2,36500,No aplica,29435,7065,5,3,Sí,Sí,Sí,No,No,No,No,29258,3562,18503,No,0,571,Regular,0,0,0,0,No,3562,19.3,0,No,No,Medio,18,2959,19.3,2,Medio,Moderado,Bajo,Sí,15,10,5,2,0,Cajero,Alto,1,Transferencias,6,7,Sí,Ahorrar,Hipoteca,Sí
CLI019,Persona Física,58,Femenino,Divorciado,0,Posgrado,Jalisco,Suburbana,Empleado,Manufactura,2,19163,No aplica,14007,5156,1,3,Sí,Sí,No,Sí,No,No,No,7012,6146,11722,Sí,4,788,Excelente,2,1,1,120,No,27326,52.4,2,No,No,Bajo,19,6758,52.4,0,Alto,Dinámico,Medio,Sí,11,1,2,0,0,App móvil,Alto,1,App,8,8,No,Viajar,Inversión,No
CLI020,Persona Física,38,Femenino,Casado,0,Secundaria,Coahuila,Urbana,Independiente,Alimentos,6,13487,No aplica,8729,4758,5,1,Sí,No,No,No,No,No,No,4130,0,0,Sí,11,711,Buena,1,2,1,30,No,18592,0.0,0,Sí,No,Bajo,22,0,0.0,0,Alto,Moderado,Medio,Sí,11,8,5,1,1,Cajero,Alto,0,Ninguno,5,3,Sí,Comprar automóvil,Seguro,No
CLI021,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Morelos,Urbana,Empresario,Logística,4,No aplica,299808,181649,118159,4,3,Sí,Sí,No,No,No,No,Sí,129000,159790,225004,Sí,3,729,Buena,1,0,1,30,No,178284,71.0,1,No,No,Medio,40,54328,71.0,0,Alto,Moderado,Medio,Sí,5,3,6,0,0,App móvil,Medio,0,Ninguno,8,7,No,Pagar deudas,Inversión,Sí
