cliente_id,mes,etiqueta,ingreso_mxn,gastos_mxn,ahorro_mxn,ahorro_acumulado_mxn,saldo_tarjeta_mxn,uso_limite_pct,score_crediticio,pagos_atrasados
CLI001,2026-01,Ene,26662,14452,12210,18461,0,0.0,559,0
CLI001,2026-02,Feb,28055,16686,11369,20909,0,0.0,566,0
CLI001,2026-03,Mar,26791,16152,10638,23199,0,0.0,571,0
CLI001,2026-04,Abr,27255,14748,12507,25892,0,0.0,574,0
CLI001,2026-05,May,27311,16163,11147,28292,0,0.0,576,0
CLI001,2026-06,Jun,28024,16135,11889,30852,0,0.0,582,0
CLI001,2026-07,Jul,27211,16791,10420,33095,0,0.0,586,0
CLI001,2026-08,Ago,27365,15686,11679,35610,0,0.0,591,0
CLI002,2026-01,Ene,140821,80627,60194,137049,0,0.0,756,0
CLI002,2026-02,Feb,142189,82802,59387,150860,0,0.0,755,0
CLI002,2026-03,Mar,142249,85190,57059,164129,0,0.0,753,0
CLI002,2026-04,Abr,136457,83438,53019,176459,0,0.0,739,1
CLI002,2026-05,May,140222,87463,52759,188728,0,0.0,739,0
CLI002,2026-06,Jun,141362,88979,52383,200910,0,0.0,738,0
CLI002,2026-07,Jul,137202,87359,49843,212501,0,0.0,737,0
CLI002,2026-08,Ago,138430,88464,49966,224121,0,0.0,736,0
CLI003,2026-01,Ene,10412,6069,4342,4875,0,0.0,697,0
CLI003,2026-02,Feb,10524,6634,3890,5442,0,0.0,696,0
CLI003,2026-03,Mar,10841,5793,5047,6178,0,0.0,695,0
CLI003,2026-04,Abr,10777,6067,4709,6865,0,0.0,686,0
CLI003,2026-05,May,10698,6295,4403,7507,0,0.0,666,2
CLI003,2026-06,Jun,10898,6542,4356,8143,0,0.0,658,0
CLI003,2026-07,Jul,10569,6435,4133,8745,0,0.0,655,0
CLI003,2026-08,Ago,10604,6101,4503,9402,0,0.0,651,0
CLI004,2026-01,Ene,206899,131582,75317,69579,0,0.0,521,0
CLI004,2026-02,Feb,212273,148490,63783,74610,0,0.0,523,0
CLI004,2026-03,Mar,212544,130812,81732,81058,0,0.0,530,0
CLI004,2026-04,Abr,203856,148412,55444,85432,0,0.0,535,0
CLI004,2026-05,May,206689,127896,78792,91648,0,0.0,542,0
CLI004,2026-06,Jun,208061,128262,79800,97943,0,0.0,547,0
CLI004,2026-07,Jul,208726,129569,79157,104188,0,0.0,548,0
CLI004,2026-08,Ago,207306,139117,68189,109567,0,0.0,553,0
CLI005,2026-01,Ene,31279,22164,9115,8386,0,0.0,513,0
CLI005,2026-02,Feb,31500,21522,9977,8947,0,0.0,519,0
CLI005,2026-03,Mar,30844,19977,10867,9557,0,0.0,520,0
CLI005,2026-04,Abr,30245,19660,10585,10152,0,0.0,522,0
CLI005,2026-05,May,29980,21076,8904,10652,0,0.0,524,0
CLI005,2026-06,Jun,30831,22125,8706,11141,0,0.0,529,0
CLI005,2026-07,Jul,29951,20093,9859,11694,0,0.0,533,0
CLI005,2026-08,Ago,30749,20857,9892,12250,0,0.0,540,0
CLI006,2026-01,Ene,7458,6316,1141,5547,0,0.0,627,0
