categoria,producto,segmento,tipo_cliente,red,estatus,ingreso_min_mxn,edad,apertura_saldo,comision_admin_anual_mxn_sin_iva,cat_promedio_pct,tasa_promedio_pct,beneficios,recompensas,msi_financiamiento,seguros_protecciones,requisitos,canales,perfil_objetivo,variables_recomendacion,fuente,fecha_verificacion
Crédito personal,Banorte Conmigo,Entrada / Nómina,Persona Física,Mastercard,Vigente; solo por invitación,2000.0,No publicada en página vigente consultada,,0.0,98.8,70.7,Sin costo de por vida; pago domiciliado a Nómina Banorte; Blindaje Banorte hasta 48 h; administración digital.,No participa en Recompensa Total Banorte.,Beneficios/promociones sujetos a invitación y campañas vigentes.,Blindaje Banorte 48 h; asistencias Mastercard según condiciones.,"Ingreso mínimo comprobable $2,000/mes; disponible únicamente por invitación; evaluación de crédito.",Invitación / sucursal / Banorte Móvil según oferta,Cliente nómina que inicia o fortalece historial crediticio y busca cero anualidad.,recibe_nomina; ingreso_mensual; score_crediticio; pagos_atrasados; antiguedad_cliente; sensibilidad_anualidad,https://www.banorte.com/Personal/TDC/Banorte-Conmigo,2026-09-12
Crédito personal,Banorte Básica,Entrada,Persona Física / PFAE,Visa o Mastercard,Vigente,7000.0,Mayor de edad; sujeto a evaluación,,0.0,95.6,69.0,Sin anualidad; Blindaje Banorte; banca digital; opciones de pago físicas y digitales.,No participa en Recompensa Total Banorte.,Meses sin intereses en comercios participantes/promociones.,Blindaje Banorte hasta 48 h; asistencias de la marca de aceptación.,"Ingreso mínimo comprobable $7,000/mes; identificación; evaluación crediticia.",En línea; Banorte Móvil; sucursal,Cliente que busca una primera tarjeta simple y sin anualidad.,ingreso_mensual; score_crediticio; historial_crediticio; gasto_mensual; sensibilidad_anualidad; uso_app,https://www.banorte.com/TDC/Basica/,2026-09-12
Crédito personal,Banorte Clásica,Masivo,Persona Física / PFAE,Visa o Mastercard,Vigente,7000.0,18 a 69 años 11 meses,,695.0,121.4,67.77,Recompensa Total Banorte; protección de compras según red; beneficios de entretenimiento; banca digital.,1 punto por cada $10 de compras al estar inscrito en Recompensa Total Banorte.,"6 meses con tasa preferencial en compras mayores a $2,000; promociones MSI vigentes.",Protección de compras; Blindaje Banorte; beneficios Visa/Mastercard según plástico.,"PF o PFAE; 18-69 años 11 meses; buen Buró; identificación; RFC/CURP; ingreso mínimo $7,000; biométricos.",En línea; Banorte Móvil; sucursal,Cliente de gasto cotidiano que quiere puntos y beneficios generales.,ingreso_mensual; score_crediticio; gasto_mensual_tarjeta; transacciones_mensuales; preferencia_puntos; antiguedad_cliente,https://www.banorte.com/TDC/Clasica,2026-09-12
Crédito personal,Banorte One Up,Joven / Digital,Persona Física / PFAE,Visa,Vigente,7000.0,18 a 64 años,,0.0,87.8,64.7,"Comunidades Gamer, Lifestyle o Wellness; pagos móviles; protección de precios; coberturas de pertenencias; banca digital.",1 punto/$10 general; 2 puntos/$10 tarjeta digital/wallet; 3 puntos/$10 en comercios de la comunidad.,"6 MSI en compras elegibles de los primeros 30 días; comisión de inactividad $450 si no acumula $7,500 por trimestre.",Protección de precios hasta USD 400/año; coberturas de pertenencias; Blindaje Banorte.,"PF o PFAE; 18-64; buen Buró; ingreso mínimo $7,000; identificación; RFC/CURP; biométricos.",En línea; Banorte Móvil; sucursal,"Cliente digital con compras frecuentes y afinidad por gaming, wellness o lifestyle.",edad; uso_app; compras_online; usa_wallet_digital; gasto_entretenimiento; gasto_wellness; gasto_trimestral; preferencia_puntos,https://www.banorte.com/TDC/One-Up,2026-09-12
Crédito personal,Banorte Oro,Intermedio,Persona Física / PFAE,Visa o Mastercard,Vigente,7000.0,18 a 69 años 11 meses,,1100.0,96.7,64.75,Recompensa Total; promociones Cinépolis/Starbucks; garantía extendida; banca digital.,1.15 puntos por cada $10 de compras.,"6 MSI en compras elegibles de los primeros 30 días; 9 meses a tasa fija 22% en compras > $4,000.",Garantía extendida; protección de compras según red; Blindaje Banorte.,"PF o PFAE; 18-69 años 11 meses; buen Buró; ingreso mínimo $7,000; identificación; RFC/CURP; biométricos.",En línea; Banorte Móvil; sucursal,Cliente con gasto medio que busca más puntos y coberturas que una tarjeta básica.,ingreso_mensual; score_crediticio; gasto_mensual_tarjeta; preferencia_puntos; compras_electronica; nivel_endeudamiento,https://www.banorte.com/TDC/Oro,2026-09-12
Crédito personal,Mujer Banorte,Bienestar / Beneficios,Persona Física / PFAE,Mastercard,Vigente,7000.0,18 a 69 años 11 meses,,1100.0,96.6,64.84,Promociones y asistencias orientadas a bienestar; beneficios Mastercard; banca digital.,Participa en Recompensa Total Banorte.,"6 MSI primeros 30 días; promociones para hospitales, clínicas y laboratorios bajo condiciones.",Seguros/asistencias según producto y Mastercard; Blindaje Banorte.,"PF o PFAE; 18-69 años 11 meses; buen Buró; ingreso mínimo $7,000; identificación; RFC/CURP; biométricos.",En línea; Banorte Móvil; sucursal,"Cliente que valore asistencias, bienestar, promociones y recompensas.",preferencias_beneficios; gasto_salud; gasto_mensual_tarjeta; preferencia_puntos; score_crediticio; ingreso_mensual,https://www.banorte.com/TDC/Mujer-Banorte.html,2026-09-12
Crédito personal,Banorte POR Ti,Cashback / Consumo,Persona Física / PFAE,Mastercard,Vigente,7000.0,18 a 69 años 11 meses,,1100.0,96.2,64.73,Bonificación en efectivo por compras; referidos; promociones Starbucks; banca digital.,"1% de compras del mes + 1% adicional en gasolinerías L-V y restaurantes S-D; requiere gasto mensual mínimo $4,000; tope anual publicado $5,000.","12 meses a tasa fija 23% en compras elegibles mayores a $4,000.",Protección de compras (según Mastercard); seguro de saldo deudor por fallecimiento; asistencias de viaje.,"PF o PFAE; 18-69 años 11 meses; buen Buró; ingreso mínimo $7,000; identificación; RFC/CURP; biométricos.",En línea; Banorte Móvil; sucursal,Cliente con gasto recurrente en gasolina/restaurantes y preferencia por cashback.,gasto_mensual_tarjeta; gasto_gasolina; gasto_restaurantes; preferencia_cashback; ingreso_mensual; score_crediticio,https://www.banorte.com/TDC/POR-Ti,2026-09-12
Crédito personal,Selección Nacional,Afinidad / Fútbol,Persona Física / PFAE,Visa,Vigente,7000.0,18 a 69 años 11 meses,,1100.0,95.0,64.71,Recompensas/artículos de Selección Nacional; playera al cumplir condiciones; promociones en entretenimiento; referidos.,"Programa de recompensas con artículos oficiales; playera al acumular $20,000 en 3 meses y cumplir condiciones.",6 MSI en compras elegibles de los primeros 30 días.,Beneficios Visa; Blindaje Banorte.,"PF o PFAE; 18-69 años 11 meses; buen Buró; ingreso mínimo $7,000; identificación; RFC/CURP; biométricos.",En línea; Banorte Móvil; sucursal,Cliente aficionado al fútbol que valora experiencias y artículos de la Selección.,afinidad_futbol; gasto_entretenimiento; gasto_deportivo; gasto_mensual_tarjeta; score_crediticio; ingreso_mensual,https://www.banorte.com/TDC/Seleccion-Nacional.html,2026-09-12
Crédito personal,RappiCard,Digital / Cashback,Persona Física,Visa,Vigente,,18+,,0.0,,,Gestión 100% digital; cashback; meses sin intereses en comercios; diferimiento de compras; acceso a score crediticio.,"Hasta 5% cashback en Rappi; 3% en Rappi Travel, recargas y tarjetas de regalo; 1% en otras compras.",MSI en comercios participantes; diferimiento de compras > $500 con tasa preferencial.,Controles digitales y beneficios Visa; detalles sujetos a términos de RappiCard.,Mayor de edad; INE; RFC; solicitud desde cuenta personal de Rappi; evaluación crediticia.,App Rappi,"Cliente intensivo en delivery, e-commerce y servicios digitales que prioriza cashback.",uso_rappi; gasto_delivery; compras_online; uso_app; preferencia_cashback; score_crediticio,https://www.banorte.com/TDC/RappiCard.html,2026-09-12
Crédito personal,Marriott Bonvoy,Viajes / Hoteles,Persona Física / PFAE,Mastercard,Vigente,7000.0,18 a 74 años 11 meses,,1500.0,100.3,64.83,Bono de bienvenida; noche gratis anual al cumplir gasto; Elite Lounge AICM; Travel Rewards; banca digital.,"4 puntos/USD en Marriott; 2 puntos/USD en vuelos y supermercados; 1 punto/USD en otras compras; bono 12,500 puntos por gasto elegible.",9 MSI en hoteles/resorts Marriott; 6 MSI primeros 30 días.,Mastercard Global Service; beneficios de viaje Mastercard.,"PF o PFAE; 18-74 años 11 meses; buen Buró; ingreso mínimo $7,000; identificación; RFC/CURP; biométricos.",En línea; Banorte Móvil; sucursal,Viajero que se hospeda frecuentemente en Marriott y quiere acumular puntos hoteleros.,viajes_anuales; gasto_hoteles; gasto_marriott; gasto_vuelos; gasto_supermercado; preferencia_puntos_viaje,https://www.banorte.com/TDC/Marriott-Bonvoy.html,2026-09-12
