categoria,producto,imagen,bullets,nombre_display,segmento,tipo_cliente,red,estatus,ingreso_min_mxn,edad,apertura_saldo,comision_admin_anual_mxn_sin_iva,cat_promedio_pct,tasa_promedio_pct,beneficios,recompensas,msi_financiamiento,seguros_protecciones,requisitos,canales,perfil_objetivo,variables_recomendacion,fuente,fecha_verificacion
Crédito personal,Banorte Conmigo,/tarjetas/conmigo.png,Disfruta de una tarjeta gratis de por vida | Activa el pago automático y simplifica tu día a día | Cada compra cuenta: disfruta de sus beneficios,Banorte Conmigo,Entrada / Nómina,Persona Física,Mastercard,Vigente; solo por invitación,2000.0,No publicada en página vigente consultada,,0.0,98.8,70.7,Sin costo de por vida; pago domiciliado a Nómina Banorte; Blindaje Banorte hasta 48 h; administración digital.,No participa en Recompensa Total Banorte.,Beneficios/promociones sujetos a invitación y campañas vigentes.,Blindaje Banorte 48 h; asistencias Mastercard según condiciones.,"Ingreso mínimo comprobable $2,000/mes; disponible únicamente por invitación; evaluación de crédito.",Invitación / sucursal / Banorte Móvil según oferta,Cliente nómina que inicia o fortalece historial crediticio y busca cero anualidad.,recibe_nomina; ingreso_mensual; score_crediticio; pagos_atrasados; antiguedad_cliente; sensibilidad_anualidad,https://www.banorte.com/Personal/TDC/Banorte-Conmigo,2026-09-12
Crédito personal,Banorte Básica,/tarjetas/basica.png,Sin anualidad de por vida. | Controla tus compras de forma fácil y segura. | Ajusta la cantidad disponible de tu línea de crédito.,Básica,Entrada,Persona Física / PFAE,Visa o Mastercard,Vigente,7000.0,Mayor de edad; sujeto a evaluación,,0.0,95.6,69.0,Sin anualidad; Blindaje Banorte; banca digital; opciones de pago físicas y digitales.,No participa en Recompensa Total Banorte.,Meses sin intereses en comercios participantes/promociones.,Blindaje Banorte hasta 48 h; asistencias de la marca de aceptación.,"Ingreso mínimo comprobable $7,000/mes; identificación; evaluación crediticia.",En línea; Banorte Móvil; sucursal,Cliente que busca una primera tarjeta simple y sin anualidad.,ingreso_mensual; score_crediticio; historial_crediticio; gasto_mensual; sensibilidad_anualidad; uso_app,https://www.banorte.com/TDC/Basica/,2026-09-12
Crédito personal,Banorte Clásica,/tarjetas/clasica.png,6 meses sin intereses. | Recompensas por todas tus compras. | Primera anualidad sin costo.,Clásica,Masivo,Persona Física / PFAE,Visa o Mastercard,Vigente,7000.0,18 a 69 años 11 meses,,695.0,121.4,67.77,Recompensa Total Banorte; protección de compras según red; beneficios de entretenimiento; banca digital.,1 punto por cada $10 de compras al estar inscrito en Recompensa Total Banorte.,"6 meses con tasa preferencial en compras mayores a $2,000; promociones MSI vigentes.",Protección de compras; Blindaje Banorte; beneficios Visa/Mastercard según plástico.,"PF o PFAE; 18-69 años 11 meses; buen Buró; identificación; RFC/CURP; ingreso mínimo $7,000; biométricos.",En línea; Banorte Móvil; sucursal,Cliente de gasto cotidiano que quiere puntos y beneficios generales.,ingreso_mensual; score_crediticio; gasto_mensual_tarjeta; transacciones_mensuales; preferencia_puntos; antiguedad_cliente,https://www.banorte.com/TDC/Clasica,2026-09-12
Crédito personal,Banorte One Up,/tarjetas/one-up.png,Elige tu comunidad. | Puntos por tus compras. | Personaliza tu tarjeta.,One Up,Joven / Digital,Persona Física / PFAE,Visa,Vigente,7000.0,18 a 64 años,,0.0,87.8,64.7,"Comunidades Gamer, Lifestyle o Wellness; pagos móviles; protección de precios; coberturas de pertenencias; banca digital.",1 punto/$10 general; 2 puntos/$10 tarjeta digital/wallet; 3 puntos/$10 en comercios de la comunidad.,"6 MSI en compras elegibles de los primeros 30 días; comisión de inactividad $450 si no acumula $7,500 por trimestre.",Protección de precios hasta USD 400/año; coberturas de pertenencias; Blindaje Banorte.,"PF o PFAE; 18-64; buen Buró; ingreso mínimo $7,000; identificación; RFC/CURP; biométricos.",En línea; Banorte Móvil; sucursal,"Cliente digital con compras frecuentes y afinidad por gaming, wellness o lifestyle.",edad; uso_app; compras_online; usa_wallet_digital; gasto_entretenimiento; gasto_wellness; gasto_trimestral; preferencia_puntos,https://www.banorte.com/TDC/One-Up,2026-09-12
Crédito personal,Banorte Oro,/tarjetas/oro.png,"Meses sin intereses en tus compras iniciales. | Recompensas en experiencias, artículos y vuelos. | Asistencia Plus Banorte.",Oro,Intermedio,Persona Física / PFAE,Visa o Mastercard,Vigente,7000.0,18 a 69 años 11 meses,,1100.0,96.7,64.75,Recompensa Total; promociones Cinépolis/Starbucks; garantía extendida; banca digital.,1.15 puntos por cada $10 de compras.,"6 MSI en compras elegibles de los primeros 30 días; 9 meses a tasa fija 22% en compras > $4,000.",Garantía extendida; protección de compras según red; Blindaje Banorte.,"PF o PFAE; 18-69 años 11 meses; buen Buró; ingreso mínimo $7,000; identificación; RFC/CURP; biométricos.",En línea; Banorte Móvil; sucursal,Cliente con gasto medio que busca más puntos y coberturas que una tarjeta básica.,ingreso_mensual; score_crediticio; gasto_mensual_tarjeta; preferencia_puntos; compras_electronica; nivel_endeudamiento,https://www.banorte.com/TDC/Oro,2026-09-12
Crédito personal,Mujer Banorte,/tarjetas/mujer.png,6 meses sin intereses en tus compras iniciales y en salud. | Recompensas por todas tus compras. | Primera anualidad sin costo.,Mujer Banorte,Bienestar / Beneficios,Persona Física / PFAE,Mastercard,Vigente,7000.0,18 a 69 años 11 meses,,1100.0,96.6,64.84,Promociones y asistencias orientadas a bienestar; beneficios Mastercard; banca digital.,Participa en Recompensa Total Banorte.,"6 MSI primeros 30 días; promociones para hospitales, clínicas y laboratorios bajo condiciones.",Seguros/asistencias según producto y Mastercard; Blindaje Banorte.,"PF o PFAE; 18-69 años 11 meses; buen Buró; ingreso mínimo $7,000; identificación; RFC/CURP; biométricos.",En línea; Banorte Móvil; sucursal,"Cliente que valore asistencias, bienestar, promociones y recompensas.",preferencias_beneficios; gasto_salud; gasto_mensual_tarjeta; preferencia_puntos; score_crediticio; ingreso_mensual,https://www.banorte.com/TDC/Mujer-Banorte.html,2026-09-12
Crédito personal,Banorte POR Ti,/tarjetas/por-ti.png,Bonificaciones por cada compra. | 3 a 18 meses para pagar tus compras. | Promociones y descuentos exclusivos.,POR Ti,Cashback / Consumo,Persona Física / PFAE,Mastercard,Vigente,7000.0,18 a 69 años 11 meses,,1100.0,96.2,64.73,Bonificación en efectivo por compras; referidos; promociones Starbucks; banca digital.,"1% de compras del mes + 1% adicional en gasolinerías L-V y restaurantes S-D; requiere gasto mensual mínimo $4,000; tope anual publicado $5,000.","12 meses a tasa fija 23% en compras elegibles mayores a $4,000.",Protección de compras (según Mastercard); seguro de saldo deudor por fallecimiento; asistencias de viaje.,"PF o PFAE; 18-69 años 11 meses; buen Buró; ingreso mínimo $7,000; identificación; RFC/CURP; biométricos.",En línea; Banorte Móvil; sucursal,Cliente con gasto recurrente en gasolina/restaurantes y preferencia por cashback.,gasto_mensual_tarjeta; gasto_gasolina; gasto_restaurantes; preferencia_cashback; ingreso_mensual; score_crediticio,https://www.banorte.com/TDC/POR-Ti,2026-09-12
Crédito personal,United,/tarjetas/united.png,Crédito libre para nuevas experiencias.,United (Preferente),Viajes / Millas,Persona Física / PFAE,Visa,Vigente,7000.0,18 a 74 años 11 meses,,3100.0,77.5,55.71,Bono de bienvenida; prioridad de abordaje; equipaje documentado; beneficios United/Star Alliance; banca digital.,"3 millas/USD en United; 2 millas/USD en otras compras; bono 20,000 millas por gasto elegible.",6 MSI primeros 30 días; 6 MSI compras en extranjero; 6 MSI educación; planes en vuelos United.,Seguros y asistencias de viaje Visa; beneficios de equipaje/abordaje según condiciones.,"PF o PFAE; 18-74 años 11 meses; buen Buró; ingreso mínimo $7,000; identificación; RFC/CURP; biométricos.",En línea; Banorte Móvil; sucursal,Viajero frecuente que usa United/Star Alliance y valora millas y equipaje.,viajes_anuales; gasto_vuelos; gasto_united; gasto_extranjero; preferencia_millas; ingreso_mensual,https://www.banorte.com/TDC/United.html,2026-09-12
Crédito personal,Platinum,/tarjetas/platinum.png,La Tarjeta de Crédito que te ofrece todo para disfrutar el mundo.,Platinum (Preferente),Premium,Persona Física / PFAE,Visa/Mastercard según emisión,Vigente / Preferente,7000.0,18 a 74 años 11 meses,,2550.0,56.5,43.69,Beneficios premium y de viaje; compras internacionales a MSI; educación a MSI; Recompensa Total; atención preferente.,Participa en Recompensa Total Banorte.,"6 MSI primeros 30 días; 6 MSI moneda extranjera; 6 MSI educación; 20 meses a tasa fija 18% en compras > $20,000.",Seguros y protecciones premium de la red; Blindaje; asistencias de viaje.,"PF o PFAE; 18-74 años 11 meses; buen Buró; ingreso mínimo publicado $7,000; sujeto a evaluación de crédito y segmentación.",Banorte Móvil; sucursal; Banca Preferente,"Cliente de gasto alto que viaja y usa compras internacionales, educación o beneficios premium.",ingreso_mensual; saldo_promedio; gasto_mensual_tarjeta; viajes_anuales; gasto_extranjero; patrimonio; score_crediticio,https://www.banorte.com/Personal/TDC/Platinum,2026-09-12
Crédito personal,Marriott Bonvoy Inspire,/tarjetas/marriott-bonvoy-inspire.png,Conoce nuevos destinos y disfruta grandes experiencias.,Marriott Bonvoy Inspire (Preferente),Premium / Hoteles,Persona Física / PFAE,Mastercard,Vigente / Preferente,7000.0,18 a 74 años 11 meses,,3100.0,76.5,55.73,Beneficios Marriott premium; LoungeKey; Elite Lounge/Valet AICM; Mastercard Concierge; Travel Rewards.,Acumulación Marriott Bonvoy premium; beneficios sujetos al programa Marriott.,"9 MSI Marriott; 6 MSI moneda extranjera; 6 MSI educación; 20 meses con interés en compras > $20,000.","Protecciones de viaje Mastercard, LoungeKey, concierge, Global Service.","PF o PFAE; 18-74 años 11 meses; ingreso mínimo publicado $7,000; buen historial; identificación; biométricos.",En línea; Banorte Móvil; sucursal; Banca Preferente,Cliente premium con alta frecuencia de viajes y fuerte gasto en Marriott.,viajes_anuales; gasto_marriott; gasto_hoteles; gasto_extranjero; ingreso_mensual; patrimonio; preferencia_puntos_viaje,https://www.banorte.com/Personal/TDC/Marriott-Bonvoy-Inspire,2026-09-12
