ID,Producto,Segmento,Categoría,Subcategoría,Tipo de cliente,Destino / uso,Tipo de crédito,Monto mínimo MXN,Monto máximo MXN,Financiamiento máx. %,Enganche mín. %,Plazo mín. meses,Plazo máx. meses,Tipo de tasa,Tasa desde % anual,CAT promedio %,Comisión principal,Moneda,¿Requiere ser cliente Banorte?,¿Requiere Nómina Banorte?,Ingreso mínimo mensual MXN,Edad mínima,Edad máxima,Antigüedad negocio mín. años,Historial crediticio,Garantía / aval,Documentos / requisitos principales,Beneficios clave,Pago anticipado,Seguros,Canales de contratación,Perfil objetivo,Variables útiles para recomendación,Estado del dato,Vigencia de tasas/CAT,Fuente oficial
PF001,Crédito Personal Banorte,Persona Física,Consumo,Préstamo personal,Persona Física,"Necesidades personales, proyectos, emergencias o consolidación de gastos",Crédito simple / préstamo personal,,500000.0,,,,36.0,Fija,22.0,28.8,0% comisión por apertura,MXN,Sí,,,,,,Sujeto a análisis de crédito,No requiere aval ni garantía,Identificación oficial vigente; comprobante de domicilio,"Hasta $500,000; cargo mensual a cuenta; seguro de vida gratuito; sin penalización por prepago","Sí, total o parcial, sin penalización",Seguro de vida gratuito durante el plazo,Sucursal / oferta Banorte,Cliente Banorte con necesidad de liquidez y capacidad de pago comprobable,ingreso_mensual; score_crediticio; nivel_endeudamiento; pagos_atrasados; antiguedad_cliente; capacidad_pago,Vigente / página oficial activa,CAT/tasa: vigente al 30-oct-2026,https://www.banorte.com/Personal/Credito-Personal-Banorte.html
PF002,Crédito Personal Banorte Preferente,Persona Física Preferente,Consumo,Préstamo personal preferente,Persona Física / Cliente Preferente,Proyectos personales o de inversión,Crédito simple / préstamo personal,,1000000.0,,,12.0,36.0,Fija,22.0,28.8,0% comisión por apertura,MXN,Sí; solo por invitación,,,24.0,69.0,,Sujeto a aprobación y perfil,No requiere aval ni garantía,Identificación oficial; comprobante de domicilio <= 90 días,"Hasta $1,000,000; tasa fija; seguro de vida; sin penalización por prepago","Sí, sin penalización",Seguro de vida gratuito,Sucursal / invitación,Cliente Preferente con alta capacidad de pago y relación sólida con Banorte,ingreso_mensual; activos; score_crediticio; antiguedad_cliente; saldo_promedio; capacidad_pago,Vigente / página oficial activa,CAT/tasa: vigente al 30-oct-2026,https://www.banorte.com/Preferente/Creditos-Preferente/Credito-Personal.html
PF003,Crédito de Nómina Banorte,Persona Física,Consumo,Crédito de nómina,Persona Física asalariada,"Gastos personales, educación, vacaciones, deudas, emergencias",Crédito simple con cargo a nómina,,1500000.0,,,,60.0,Fija,,38.3,,MXN,Sí,Sí,2000.0,18.0,74.92,,Buen historial facilita contratación; sujeto a aprobación,No requiere aval o garantía,Identificación oficial; comprobante domicilio <=3 meses; estado de cuenta; si aplica comprobación de nómina,Hasta $1.5 millones; pagos fijos automáticos vía nómina; plazo hasta 60 meses; posible renovación,"Sí, según contrato",Seguro de vida y desempleo asociado al crédito,Banorte Móvil; sucursal; banca por internet según oferta,Cliente que recibe nómina en Banorte y necesita financiamiento de mediano plazo,recibe_nomina; ingreso_mensual; score_crediticio; estabilidad_laboral; pagos_atrasados; capacidad_pago,Producto vigente; CAT mostrado en página oficial,,https://acceso24.banorte.com/wps/portal/banorte/Home/creditos/credito-de-nomina/nomina
PF004,Adelanto de Nómina,Persona Física,Consumo,Adelanto de sueldo,Persona Física asalariada,Liquidez de muy corto plazo antes del siguiente pago de nómina,Adelanto de nómina / corto plazo,,10000.0,,,,2.0,0% interés; comisión por disposición,0.0,124.0,7% del monto dispuesto + IVA,MXN,Sí,Sí,2000.0,18.0,79.92,,Aplica a clientes con buen historial; sujeto a aprobación,No publicada / no se exige garantía real,Contratación digital; cuenta de nómina Banorte activa,"Hasta $10,000; contratación inmediata; pago hasta 2 meses; renovable al liquidar",Sí,No destacado,Banorte Móvil; Banco en Línea; cajeros en renovaciones,Nominahabiente con necesidad temporal y puntual de liquidez,recibe_nomina; ingreso_mensual; liquidez_corto_plazo; score_crediticio; historial_pagos,Vigente / página oficial activa,CAT vigente al 31-dic-2026,https://www.banorte.com/Personal/Nomina/Nomina-Personas-Fisicas/Adelanto-de-Nomina.html
PF005,Respaldo Banorte,Persona Física,Consumo,Línea de sobregiro,Persona Física con cuenta elegible,Cubrir faltantes de saldo para gastos del mes,Línea de crédito revolvente / sobregiro,,2000.0,,,,1.0,Comisión por uso,,213.86,10% sobre monto usado; cheques: $400 por evento,MXN,Sí; requiere invitación,,,,,,Sujeto a aprobación,No,Activación desde Banorte Móvil,"Hasta $2,000; sólo genera cargos si se usa; pago automático al recibir depósitos; hasta 30 días","Sí, sin penalización",,Banorte Móvil,Cliente de cuenta de débito con necesidad ocasional de sobregiro,saldo_promedio; frecuencia_depositos; historial_pagos; ingresos; liquidez_corto_plazo,Vigente / página oficial activa,CAT vigente al 31-dic-2026,https://gfb20194k4k0n4-www.banorte.com/Nomina/Nomina-Personas-Fisicas/Promociones/Respaldo-Banorte.html
AU001,Autoestrene Banorte,Persona Física,Automotriz,Auto nuevo,Persona Física / PFAE sujeto a evaluación,Compra de auto nuevo,Crédito automotriz simple,,,90.0,10.0,,72.0,Fija,14.99,22.0,2.5% + IVA del monto a financiar,MXN,,,,,,,Sujeto a evaluación,Garantía sobre el vehículo; obligado solidario cuando aplique,Solicitud; identificación; comprobante domicilio; comprobante de ingresos; autorización Buró,Financiamiento alto; plazos hasta 72 meses; tasa fija; prepagos sin penalización,"Sí, sin penalización",Seguro auto de cobertura amplia; puede financiarse con Seguros Banorte,Sucursal / agencia,Cliente que busca vehículo nuevo y puede cubrir enganche,ingreso_mensual; score_crediticio; capacidad_pago; gasto_transporte; enganche_disponible,Vigente / página oficial activa,CAT general mostrado vigente al 30-nov-2026; promociones pueden modificar comisión/tasa,https://www.banorte.com/Creditos-de-Auto/
AU002,Autoestrene Banorte Seminuevos,Persona Física,Automotriz,Auto seminuevo,Persona Física / PFAE sujeto a evaluación,Compra de auto seminuevo,Crédito automotriz simple,,,85.0,15.0,,60.0,Fija,14.99,29.3,2.5% + IVA del monto a financiar,MXN,,,,,,,Sujeto a evaluación,Garantía sobre vehículo,Solicitud; identificación; domicilio; ingresos,Hasta 85% del valor de factura; prepagos sin penalización; posibilidad de financiar seguros,Sí,Cobertura amplia; opción Seguros Banorte,Sucursal,Cliente que busca seminuevo y desea reducir costo vs auto nuevo,ingreso_mensual; score_crediticio; enganche_disponible; edad_vehiculo; capacidad_pago,Vigente / página oficial activa,CAT vigente al 30-nov-2026,https://gfb20194k4k0n4-www.banorte.com/Creditos-de-Auto/Autoestrene-Banorte-Seminuevos.html
AU003,Autoestrene Nómina,Persona Física,Automotriz,Auto nuevo con nómina,Persona Física asalariada con Nómina Banorte,Compra de auto nuevo,Crédito automotriz con cargo a nómina,,,90.0,10.0,,72.0,Fija,13.99,25.6,2.5% + IVA del monto a financiar,MXN,Sí,Sí,,,,,Sujeto a evaluación,Garantía sobre vehículo,Solicitud; identificación; domicilio; recibos de nómina; carta laboral cuando aplique,Cargo automático a nómina; hasta 90% financiamiento; tasa preferente vs tradicional; hasta 72 meses,Sí,Auto y vida financiables con Seguros Banorte,Sucursal,Nominahabiente Banorte que busca auto nuevo,recibe_nomina; ingreso_mensual; score_crediticio; estabilidad_laboral; enganche_disponible,Vigente / página oficial activa,Tasa/CAT referenciados por promociones oficiales vigentes al 30-nov-2026,https://www.banorte.com/Creditos-de-Auto/
AU004,Autoestrene Nómina Seminuevos,Persona Física,Automotriz,Auto seminuevo con nómina,Persona Física asalariada con Nómina Banorte,Compra de auto seminuevo,Crédito automotriz con cargo a nómina,,,85.0,15.0,,60.0,Fija,13.99,30.4,2.5% + IVA del monto a financiar,MXN,Sí,Sí,,,,,Sujeto a evaluación,Garantía sobre vehículo,Solicitud; identificación; comprobante domicilio; recibos de nómina,Hasta 85% financiamiento; pagos automáticos; plazos según antigüedad del vehículo; prepago sin penalización,Sí,Auto y vida financiables; seguro desempleo puede aplicar,Sucursal,Nominahabiente que busca seminuevo con pago automático,recibe_nomina; ingreso_mensual; score_crediticio; estabilidad_laboral; edad_vehiculo,Vigente / página oficial activa,CAT vigente al 30-nov-2026,https://www.banorte.com/Nomina/Nomina-Personas-Fisicas/Creditos-de-auto-Nomina/Autoestrene-Nomina-Seminuevos.html
AU005,Autoestrene Verde Banorte,Persona Física,Automotriz,Auto híbrido o eléctrico,Persona Física / PFAE sujeto a evaluación,Compra de auto híbrido o eléctrico,Crédito automotriz simple,,,90.0,10.0,,72.0,Fija,10.49,22.0,2.5% + IVA del monto a financiar (página vigente),MXN,,,,,,,Sujeto a evaluación,Garantía sobre vehículo,Solicitud; identificación; domicilio; comprobantes de ingresos,Tasa preferencial verde; hasta 90% financiamiento; tarifas de seguro para híbridos/eléctricos; prepago sin penalización,Sí,Seguro auto/vida financiable; RC EUA; seguro desempleo para asalariados según condiciones,Sucursal,Cliente con interés en movilidad eléctrica/híbrida,ingreso_mensual; score_crediticio; preferencia_sustentable; gasto_combustible; enganche_disponible,Vigente / página oficial activa,CAT vigente al 30-nov-2026,https://gfb20194k4k0n4-www.banorte.com/Creditos-de-Auto/Autoestrene-Verde-Banorte.html
